"filename", "language", "Vue", "comment", "blank", "total"
"f:\moi_proecti\ca-travel\src\components\DashboardPanel.vue", "Vue", 9, 0, 4, 13
"f:\moi_proecti\ca-travel\src\components\DashboardPanels\PanelItems.vue", "Vue", 13, 0, 2, 15
"f:\moi_proecti\ca-travel\src\components\DashboardPanels\ToursPanels.vue", "Vue", 94, 0, 13, 107
"f:\moi_proecti\ca-travel\src\components\DashboardPanels\UserPanel.vue", "Vue", 10, 0, 8, 18
"f:\moi_proecti\ca-travel\src\components\FooterPanel.vue", "Vue", 140, 0, 31, 171
"f:\moi_proecti\ca-travel\src\components\HeaderMobile.vue", "Vue", 580, 0, 69, 649
"f:\moi_proecti\ca-travel\src\components\HeaderPanel.vue", "Vue", 1118, 0, 79, 1197
"f:\moi_proecti\ca-travel\src\components\HeaderTop.vue", "Vue", 23, 0, 5, 28
"f:\moi_proecti\ca-travel\src\components\HeaderTrigger.vue", "Vue", 39, 0, 8, 47
"f:\moi_proecti\ca-travel\src\components\SecondMenu.vue", "Vue", 64, 0, 10, 74
"f:\moi_proecti\ca-travel\src\components\forms\ToursForms.vue", "Vue", 248, 1, 25, 274
"Total", "-", 2338, 1, 254, 2593
