"filename", "language", "Vue", "comment", "blank", "total"
"f:\moi_proecti\ca-travel\src\components\DashboardPanel.vue", "Vue", -9, 0, -4, -13
"f:\moi_proecti\ca-travel\src\components\DashboardPanels\PanelItems.vue", "Vue", -13, 0, -2, -15
"f:\moi_proecti\ca-travel\src\components\DashboardPanels\ToursPanels.vue", "Vue", -94, 0, -13, -107
"f:\moi_proecti\ca-travel\src\components\DashboardPanels\UserPanel.vue", "Vue", -10, 0, -8, -18
"f:\moi_proecti\ca-travel\src\components\FooterPanel.vue", "Vue", -140, 0, -31, -171
"f:\moi_proecti\ca-travel\src\components\HeaderMobile.vue", "Vue", -580, 0, -69, -649
"f:\moi_proecti\ca-travel\src\components\HeaderPanel.vue", "Vue", -1118, 0, -79, -1197
"f:\moi_proecti\ca-travel\src\components\HeaderTop.vue", "Vue", -23, 0, -5, -28
"f:\moi_proecti\ca-travel\src\components\HeaderTrigger.vue", "Vue", -39, 0, -8, -47
"f:\moi_proecti\ca-travel\src\components\SecondMenu.vue", "Vue", -64, 0, -10, -74
"f:\moi_proecti\ca-travel\src\components\forms\ToursForms.vue", "Vue", -248, -1, -25, -274
"f:\moi_proecti\ca-travel\src\views\AboutView.vue", "Vue", 4, 0, 4, 8
"f:\moi_proecti\ca-travel\src\views\CampView.vue", "Vue", 956, 9, 190, 1155
"f:\moi_proecti\ca-travel\src\views\ClearSnowView.vue", "Vue", 441, 0, 72, 513
"f:\moi_proecti\ca-travel\src\views\DashboardView.vue", "Vue", 57, 0, 12, 69
"f:\moi_proecti\ca-travel\src\views\HomeView.vue", "Vue", 798, 0, 119, 917
"f:\moi_proecti\ca-travel\src\views\InfoView.vue", "Vue", 2222, 6, 264, 2492
"f:\moi_proecti\ca-travel\src\views\LeninView.vue", "Vue", 565, 0, 93, 658
"f:\moi_proecti\ca-travel\src\views\LoginView.vue", "Vue", 50, 0, 10, 60
"f:\moi_proecti\ca-travel\src\views\RecomView.vue", "Vue", 1662, 6, 190, 1858
"f:\moi_proecti\ca-travel\src\views\ToursListView.vue", "Vue", 213, 0, 35, 248
"Total", "-", 4630, 20, 735, 5385
